# T U K E
207 -1254.955215 665.945950 -589.009265
208 -1255.710405 660.839249 -594.871156
209 -1256.419163 655.677593 -600.741570
210 -1257.079867 650.462376 -606.617491
211 -1257.690950 645.194988 -612.495962
212 -1258.250628 639.877914 -618.372714
213 -1258.757226 634.512178 -624.245048
214 -1259.209601 629.100321 -630.109280
215 -1259.606938 623.645791 -635.961147
216 -1259.948822 618.150883 -641.797939
217 -1260.235403 612.619467 -647.615936
218 -1260.467439 607.056384 -653.411055
219 -1260.646711 601.465743 -659.180968
220 -1260.775443 595.853718 -664.921725
221 -1260.856715 590.226478 -670.630237
222 -1260.894426 584.590616 -676.303809
223 -1260.893098 578.954000 -681.939098
224 -1260.857686 573.324312 -687.533374
225 -1260.794318 567.710142 -693.084176
226 -1260.709275 562.119900 -698.589375
227 -1260.609181 556.563085 -704.046097
228 -1260.501305 551.047675 -709.453630
229 -1260.392824 545.583351 -714.809473
230 -1260.290818 540.178758 -720.112060
231 -1260.202837 534.842298 -725.360539
232 -1260.135689 529.581646 -730.554043
233 -1260.095920 524.404655 -735.691265
234 -1260.089970 519.318270 -740.771700
235 -1260.123404 514.328038 -745.795366
236 -1260.201298 509.439873 -750.761425
237 -1260.328603 504.658140 -755.670463
238 -1260.509176 499.987326 -760.521850
239 -1260.746298 495.430795 -765.315503
240 -1261.042891 490.990760 -770.052131
241 -1261.401356 486.669009 -774.732347
242 -1261.823287 482.468301 -779.354985
243 -1262.309945 478.388485 -783.921459
244 -1262.862508 474.430776 -788.431732
245 -1263.481558 470.594203 -792.887355
246 -1264.167273 466.879924 -797.287349
247 -1264.919145 463.286028 -801.633117
248 -1265.736858 459.811672 -805.925186
249 -1266.619502 456.455435 -810.164067
250 -1267.565525 453.214773 -814.350752
251 -1268.573280 450.088026 -818.485254
252 -1269.640236 447.070953 -822.569283
253 -1270.763872 444.160800 -826.603072
254 -1271.940423 441.352962 -830.587460
255 -1273.166143 438.642807 -834.523336
256 -1274.436546 436.025184 -838.411362
257 -1275.746477 433.494459 -842.252019
258 -1277.090899 431.044267 -846.046632
259 -1278.463999 428.668641 -849.795358
260 -1279.859603 426.361127 -853.498476
261 -1281.271687 424.114816 -857.156871
262 -1282.693727 421.923406 -860.770321
263 -1284.119809 419.780263 -864.339546
264 -1285.543685 417.679328 -867.864357
265 -1286.959438 415.614636 -871.344802
266 -1288.361712 413.580402 -874.781311
267 -1289.745349 411.571906 -878.173443
268 -1291.105676 409.584307 -881.521369
269 -1292.438474 407.613736 -884.824738
270 -1293.740129 405.656627 -888.083502
271 -1295.007617 403.710328 -891.297289
272 -1296.238421 401.772217 -894.466204
273 -1297.431010 399.840886 -897.590124
274 -1298.583724 397.915265 -900.668459
275 -1299.695948 395.994767 -903.701181
276 -1300.767643 394.078717 -906.688926
277 -1301.799074 392.168658 -909.630416
278 -1302.790981 390.264888 -912.526093
279 -1303.744669 388.368311 -915.376358
280 -1304.661733 386.481143 -918.180591
281 -1305.544104 384.604927 -920.939178
282 -1306.394050 382.741665 -923.652385
283 -1307.214155 380.893968 -926.320187
284 -1308.006912 379.063899 -928.943013
285 -1308.775108 377.254282 -931.520826
286 -1309.521555 375.467364 -934.054191
287 -1310.249144 373.705361 -936.543783
288 -1310.960779 371.970948 -938.989831
289 -1311.659181 370.266372 -941.392809
290 -1312.347178 368.594035 -943.753144
291 -1313.027000 366.955302 -946.071698
292 -1313.701151 365.352638 -948.348513
293 -1314.371691 363.786861 -950.584831
294 -1315.040466 362.259674 -952.780792
295 -1315.709144 360.771717 -954.937427
296 -1316.378994 359.323962 -957.055032
297 -1317.051090 357.916348 -959.134742
298 -1317.726290 356.549545 -961.176745
299 -1318.405099 355.223187 -963.181912
300 -1319.087990 353.937185 -965.150804
301 -1319.774753 352.690565 -967.084188
302 -1320.465444 351.482993 -968.982452
303 -1321.159597 350.313039 -970.846559
304 -1321.856799 349.180065 -972.676734
305 -1322.556210 348.082551 -974.473659
306 -1323.257248 347.019340 -976.237908
307 -1323.958880 345.988821 -977.970059
308 -1324.660173 344.989595 -979.670578
309 -1325.360281 344.020476 -981.339806
310 -1326.058107 343.079881 -982.978226
311 -1326.752942 342.166382 -984.586560
312 -1327.443498 341.278945 -986.164554
313 -1328.129195 340.415956 -987.713239
314 -1328.809077 339.576414 -989.232663
315 -1329.482544 338.759283 -990.723260
316 -1330.148884 337.963470 -992.185414
317 -1330.807540 337.188275 -993.619264
