# T U K E
1567 -1259.392855 392.638496 -866.754359
1568 -1258.979204 392.212509 -866.766695
1569 -1258.568427 391.789584 -866.778843
1570 -1258.162859 391.372072 -866.790787
1571 -1257.764972 390.962412 -866.802560
1572 -1257.376912 390.562983 -866.813929
1573 -1257.000897 390.175371 -866.825526
1574 -1256.638663 389.801619 -866.837043
1575 -1256.291784 389.443953 -866.847831
1576 -1255.962079 389.103256 -866.858823
1577 -1255.650822 388.781326 -866.869496
1578 -1255.358985 388.478681 -866.880305
1579 -1255.087793 388.196569 -866.891224
1580 -1254.837732 387.935690 -866.902042
1581 -1254.609579 387.696867 -866.912711
1582 -1254.403904 387.479853 -866.924050
1583 -1254.220645 387.285806 -866.934839
1584 -1254.060279 387.114418 -866.945860
1585 -1253.922656 386.965139 -866.957518
1586 -1253.807633 386.838301 -866.969332
1587 -1253.714943 386.733629 -866.981315
1588 -1253.644036 386.650327 -866.993710
1589 -1253.594323 386.587783 -867.006541
1590 -1253.565099 386.544866 -867.020233
1591 -1253.555357 386.521178 -867.034179
1592 -1253.563984 386.514917 -867.049067
1593 -1253.589503 386.524678 -867.064825
1594 -1253.630506 386.549301 -867.081205
1595 -1253.685334 386.586616 -867.098718
1596 -1253.752340 386.635250 -867.117090
1597 -1253.829496 386.692518 -867.136978
1598 -1253.914632 386.756952 -867.157680
1599 -1254.005923 386.826693 -867.179230
1600 -1254.101215 386.898869 -867.202346
1601 -1254.198758 386.972140 -867.226618
1602 -1254.296236 387.044673 -867.251563
1603 -1254.391964 387.114303 -867.277662
1604 -1254.484415 387.179472 -867.304942
1605 -1254.571862 387.239267 -867.332594
1606 -1254.653118 387.292223 -867.360895
1607 -1254.727238 387.337028 -867.390210
1608 -1254.793404 387.373652 -867.419752
1609 -1254.851329 387.401944 -867.449385
1610 -1254.901015 387.421416 -867.479599
1611 -1254.942188 387.432709 -867.509479
1612 -1254.975563 387.436282 -867.539281
1613 -1255.001667 387.432837 -867.568830
1614 -1255.021685 387.423535 -867.598150
1615 -1255.036551 387.409565 -867.626986
1616 -1255.047537 387.392272 -867.655265
1617 -1255.056013 387.372845 -867.683169
1618 -1255.063330 387.353145 -867.710184
1619 -1255.071238 387.334364 -867.736874
1620 -1255.080823 387.317935 -867.762888
1621 -1255.093395 387.305079 -867.788316
1622 -1255.110446 387.297045 -867.813401
1623 -1255.132855 387.294446 -867.838409
1624 -1255.161133 387.297859 -867.863274
1625 -1255.196080 387.307986 -867.888094
1626 -1255.237620 387.324796 -867.912823
1627 -1255.285998 387.347923 -867.938075
1628 -1255.340526 387.376908 -867.963619
1629 -1255.400671 387.410957 -867.989714
1630 -1255.465304 387.448422 -868.016882
1631 -1255.532860 387.487716 -868.045145
1632 -1255.601756 387.527618 -868.074138
1633 -1255.669939 387.565626 -868.104313
1634 -1255.735587 387.599543 -868.136044
